Epoch: 82 / 2000, Loss: 0.16096563237183517, Duration: 5.692849s
Epoch: 83 / 2000, Loss: 0.1619825004753957, Duration: 5.978038900s
Epoch: 84 / 2000, Loss: 0.15229411367776197, Duration: 5.717782700s
Epoch: 85 / 2000, Loss: 0.1606297005453797, Duration: 5.780878s
Epoch: 86 / 2000, Loss: 0.16141865099640992, Duration: 5.643070800s
Epoch: 87 / 2000, Loss: 0.1557388893600155, Duration: 5.816874300s
Epoch: 88 / 2000, Loss: 0.16168407543541274, Duration: 5.815356800s
Epoch: 89 / 2000, Loss: 0.1617705314700139, Duration: 5.752756300s
Epoch: 90 / 2000, Loss: 0.164483669849943, Duration: 5.889835800s
Epoch: 91 / 2000, Loss: 0.15520991547839405, Duration: 5.806807300s
Epoch: 92 / 2000, Loss: 0.16027033523208042, Duration: 5.845779500s
Epoch: 93 / 2000, Loss: 0.15368462533341914, Duration: 5.800594s
Epoch: 94 / 2000, Loss: 0.15408018915869154, Duration: 5.996214700s
Epoch: 95 / 2000, Loss: 0.15893400848370073, Duration: 6.193051200s
Epoch: 96 / 2000, Loss: 0.15679661648286325, Duration: 5.856046400s
Epoch: 97 / 2000, Loss: 0.15117487225364593, Duration: 5.809411800s
Epoch: 98 / 2000, Loss: 0.153746649848462, Duration: 5.901672700s
Epoch: 99 / 2000, Loss: 0.1537919372205042, Duration: 5.884925400s
Epoch: 100 / 2000, Loss: 0.15346457131063168, Duration: 5.924628100s
Epoch: 101 / 2000, Loss: 0.14911560438615068, Duration: 5.962410100s
Epoch: 102 / 2000, Loss: 0.14543576501276734, Duration: 5.784799700s
Epoch: 103 / 2000, Loss: 0.15550167580827728, Duration: 5.861934900s
Epoch: 104 / 2000, Loss: 0.15333289259100194, Duration: 5.874634200s
Epoch: 105 / 2000, Loss: 0.14904501057104733, Duration: 5.711760300s
Epoch: 106 / 2000, Loss: 0.1541946170915744, Duration: 5.814890300s
Epoch: 107 / 2000, Loss: 0.14376271756350195, Duration: 5.840120200s
Epoch: 108 / 2000, Loss: 0.15922108282194605, Duration: 6.122789200s
Epoch: 109 / 2000, Loss: 0.15025747938771278, Duration: 5.907218300s
Epoch: 110 / 2000, Loss: 0.15135527870176074, Duration: 5.795092s
Epoch: 111 / 2000, Loss: 0.14585229371061148, Duration: 5.858634600s
Epoch: 112 / 2000, Loss: 0.14722902838676247, Duration: 5.737958300s
Epoch: 113 / 2000, Loss: 0.14869590631290014, Duration: 5.746810600s
Epoch: 114 / 2000, Loss: 0.1478427892701294, Duration: 5.822953s
Epoch: 115 / 2000, Loss: 0.1494387776309172, Duration: 5.764840800s
Epoch: 116 / 2000, Loss: 0.14835563442703237, Duration: 5.814447100s
Epoch: 117 / 2000, Loss: 0.16123093469355837, Duration: 5.924628s
Epoch: 118 / 2000, Loss: 0.15685626229080207, Duration: 5.666486800s
Epoch: 119 / 2000, Loss: 0.1486460099191906, Duration: 5.694058100s
Epoch: 120 / 2000, Loss: 0.15748237658234343, Duration: 5.945057100s
Epoch: 121 / 2000, Loss: 0.15286718961982243, Duration: 5.623599900s
Epoch: 122 / 2000, Loss: 0.15341109183885676, Duration: 5.753856200s
Epoch: 123 / 2000, Loss: 0.15019055975877682, Duration: 5.717482700s
Epoch: 124 / 2000, Loss: 0.1516475646301735, Duration: 5.733562300s
Epoch: 125 / 2000, Loss: 0.14936459588701578, Duration: 5.737675400s
Epoch: 126 / 2000, Loss: 0.1466548154049613, Duration: 5.814950300s
Epoch: 127 / 2000, Loss: 0.14670644462656715, Duration: 5.878062400s
Epoch: 128 / 2000, Loss: 0.1524879895738299, Duration: 5.778500800s
Epoch: 129 / 2000, Loss: 0.14764756058700942, Duration: 5.881082100s
Epoch: 130 / 2000, Loss: 0.14436406823728581, Duration: 5.946656800s
Epoch: 131 / 2000, Loss: 0.14408889825542828, Duration: 5.645602500s
Epoch: 132 / 2000, Loss: 0.1418763600801984, Duration: 5.645991400s
Epoch: 133 / 2000, Loss: 0.1416500245611427, Duration: 5.669761800s
Epoch: 134 / 2000, Loss: 0.14882542432587878, Duration: 5.700535900s
Epoch: 135 / 2000, Loss: 0.14649588104676148, Duration: 5.764209700s
Epoch: 136 / 2000, Loss: 0.1499903649168951, Duration: 5.682687900s
Epoch: 137 / 2000, Loss: 0.13925291787685004, Duration: 5.949207500s
Epoch: 138 / 2000, Loss: 0.1401813315965012, Duration: 5.650552400s
Epoch: 139 / 2000, Loss: 0.147880507946557, Duration: 5.738608400s
Epoch: 140 / 2000, Loss: 0.1456438529939436, Duration: 5.766483900s
Epoch: 141 / 2000, Loss: 0.13838428589549695, Duration: 5.699165200s
Epoch: 142 / 2000, Loss: 0.13730668165968474, Duration: 5.909255s
Epoch: 143 / 2000, Loss: 0.13695222349167524, Duration: 5.853290600s
