Epoch: 82 / 2000, Loss: 0.11339100076835423, Duration: 6.251942600s
Epoch: 83 / 2000, Loss: 0.10665531195194572, Duration: 6.171752600s
Epoch: 84 / 2000, Loss: 0.10794277163884373, Duration: 6.264369300s
Epoch: 85 / 2000, Loss: 0.10762467202270941, Duration: 6.256560500s
Epoch: 86 / 2000, Loss: 0.1154227752247197, Duration: 6.282132200s
Epoch: 87 / 2000, Loss: 0.11340722226180745, Duration: 6.210663700s
Epoch: 88 / 2000, Loss: 0.11062360012929126, Duration: 6.265058200s
Epoch: 89 / 2000, Loss: 0.11893615338686715, Duration: 6.189370900s
Epoch: 90 / 2000, Loss: 0.10479390261446771, Duration: 6.263619100s
Epoch: 91 / 2000, Loss: 0.10856755854222, Duration: 6.282614600s
Epoch: 92 / 2000, Loss: 0.11692825022797594, Duration: 6.211592200s
Epoch: 93 / 2000, Loss: 0.11043249025955532, Duration: 6.252805800s
Epoch: 94 / 2000, Loss: 0.11356240319850273, Duration: 6.253152900s
Epoch: 95 / 2000, Loss: 0.10129233676194609, Duration: 6.195549900s
Epoch: 96 / 2000, Loss: 0.08965364094673633, Duration: 6.253606400s
Epoch: 97 / 2000, Loss: 0.09842019319650308, Duration: 6.262297900s
Epoch: 98 / 2000, Loss: 0.10283069535294356, Duration: 6.246139900s
Epoch: 99 / 2000, Loss: 0.08085489394226503, Duration: 6.194183s
Epoch: 100 / 2000, Loss: 0.12882077101551637, Duration: 6.247885200s
Epoch: 101 / 2000, Loss: 0.10298695739275282, Duration: 6.222630400s
Epoch: 102 / 2000, Loss: 0.10673373854504228, Duration: 6.253389400s
Epoch: 103 / 2000, Loss: 0.10334034210024186, Duration: 6.301313s
Epoch: 104 / 2000, Loss: 0.1071063458188897, Duration: 6.150100800s
Epoch: 105 / 2000, Loss: 0.09925616599854749, Duration: 6.282362600s
Epoch: 106 / 2000, Loss: 0.0870894034870774, Duration: 6.168380100s
Epoch: 107 / 2000, Loss: 0.11028323189018606, Duration: 6.280656700s
Epoch: 108 / 2000, Loss: 0.0890326889312456, Duration: 6.250053100s
Epoch: 109 / 2000, Loss: 0.09100330428034509, Duration: 6.258877s
Epoch: 110 / 2000, Loss: 0.10183479523405341, Duration: 6.171088800s
Epoch: 111 / 2000, Loss: 0.09534424305683271, Duration: 6.233312400s
Epoch: 112 / 2000, Loss: 0.09442475482889845, Duration: 6.277285400s
Epoch: 113 / 2000, Loss: 0.08805833396989629, Duration: 6.163918500s
Epoch: 114 / 2000, Loss: 0.09030700742327198, Duration: 6.238403500s
Epoch: 115 / 2000, Loss: 0.08685153385311177, Duration: 6.296300800s
Epoch: 116 / 2000, Loss: 0.08559927082289763, Duration: 6.210612700s
Epoch: 117 / 2000, Loss: 0.10541113139998332, Duration: 6.275123900s
Epoch: 118 / 2000, Loss: 0.09800038942901697, Duration: 6.165242200s
Epoch: 119 / 2000, Loss: 0.10387355726431484, Duration: 6.224715s
Epoch: 120 / 2000, Loss: 0.09671077200955674, Duration: 6.225996800s
Epoch: 121 / 2000, Loss: 0.08335048773316724, Duration: 6.232657300s
Epoch: 122 / 2000, Loss: 0.10247386833943244, Duration: 6.257032500s
Epoch: 123 / 2000, Loss: 0.08043397712309347, Duration: 6.243241s
Epoch: 124 / 2000, Loss: 0.08623245860678284, Duration: 6.273689400s
Epoch: 125 / 2000, Loss: 0.09225111019824528, Duration: 6.207947700s
Epoch: 126 / 2000, Loss: 0.09205486347490616, Duration: 6.258289s
Epoch: 127 / 2000, Loss: 0.10346579125924034, Duration: 6.291662300s
Epoch: 128 / 2000, Loss: 0.08991065726179497, Duration: 6.235806200s
Epoch: 129 / 2000, Loss: 0.10354386577141257, Duration: 6.279019700s
Epoch: 130 / 2000, Loss: 0.08352159763398091, Duration: 6.271929500s
Epoch: 131 / 2000, Loss: 0.09515356492984298, Duration: 6.263997600s
Epoch: 132 / 2000, Loss: 0.09023328108854649, Duration: 6.218345s
Epoch: 133 / 2000, Loss: 0.08497401776264328, Duration: 6.257303200s
Epoch: 134 / 2000, Loss: 0.09233530134122742, Duration: 6.275009700s
Epoch: 135 / 2000, Loss: 0.10564019603862547, Duration: 6.254782900s
Epoch: 136 / 2000, Loss: 0.09761303716596169, Duration: 6.267730900s
Epoch: 137 / 2000, Loss: 0.09086656010905435, Duration: 6.177340500s
Epoch: 138 / 2000, Loss: 0.08777803092370888, Duration: 6.251241700s
Epoch: 139 / 2000, Loss: 0.09580519766109231, Duration: 6.297652600s
Epoch: 140 / 2000, Loss: 0.09558155442923208, Duration: 6.167986500s
Epoch: 141 / 2000, Loss: 0.08995920016916842, Duration: 6.274503s
Epoch: 142 / 2000, Loss: 0.0868390058027809, Duration: 6.252295900s
Epoch: 143 / 2000, Loss: 0.09626647051886206, Duration: 6.257128s
